急招开货运司机6K到8K的,货运司机,2人,上海青浦徐泾华徐公路685海E通世界南区B栋905室,上海驹马物流有限公司,贸易/交通/运输/物流,民营,1000-9999人,诚信等级：,,驹马简介：截止2017年3月在全国有22家分公司，成都、西安、重庆、武汉、长沙、深圳、广州、上海、郑州、南京，合肥，杭州，苏州等超过2400辆自有车辆；驹马合作的企业：涉及大型物流、大型商超、大型快递、大型供应链、大型连锁店、大型电商、大型家电等多家大型企业，岗位职责：1.认真完成公司的派车任务要求，配合公司货运安排。2.按公司要求去指定地方送货；3.安全驾驶，正确执行驾驶操作规程，严禁酒后开车，保证安全行车。4.做好车辆的维护、保养工作，保持车辆常年整洁和车况良好。5.熟悉交通法规、路况和车辆性能，不断提高自己的技术水平和积累行车经验。6.身体健康，没有影响工作的疾病，劳动技能符合工作岗位的要求。7.能够服从公司的劳动安排包括岗位调整8.有货运从业资格证配送饮料，不需要装货，有时需要卸货，一个司机就可以送，仓对仓，早9晚5。工作地点：郊区，没有市区。平常不在，最好打我电话薪资待遇：司机平均工资在6000-8000不等。工作日上班地址：各区域都有仓库。就近分配,驹马简介：截止2017年1月在全国有20家分公司，成都、西安、重庆、武汉、长沙、深圳、广州、上海、郑州、南京，合肥，杭州，苏州超过2200辆自有车辆
B2驾驶员,货运司机,2人,上海浦东周浦镇湖南公路,广聘物业管理有限公司,物业管理/商业中心,股份制企业,100-499人,诚信等级：,,岗位职责：负责开箱车提货送货。（主要是跑上海周边）需要协助操作工装卸货物。任职资格：年龄：25-45岁，持有B2照驾驶证、从业资格证.有开过货车经验，能吃苦耐劳服从管理，无不良嗜好，无犯罪记录。,上海广聘物业管理有限公司办公室地址位于上海， 于2015年05月28日在上海工商局注册成立，在公司发展壮大的2年里，我们始终为客户提供最好的产品、良好的技术支持、健全的售后服务，我公司主要经营物业管理，我们有最好的产品和专业的销售和技术团队，，我公司是上海物业管理公司黄页行业内知名企业，如果您对我公司的产品服务有兴趣，期待您到来。
驹马配送全新国五车租赁送货源的,货运司机,2人,上海青浦徐泾华徐公路685海E通世界南区B栋905室,上海驹马物流有限公司,贸易/交通/运输/物流,民营,1000-9999人,诚信等级：,,驹马简介：截止2017年3月在全国有22家分公司，成都、西安、重庆、武汉、长沙、深圳、广州、上海、郑州、南京，合肥，杭州，苏州等超过2400辆自有车辆；驹马合作的企业：涉及大型物流、大型商超、大型快递、大型供应链、大型连锁店、大型电商、大型家电等多家大型企业，岗位职责：1.认真完成公司的派车任务要求，配合公司货运安排。2.按公司要求去指定地方送货；3.安全驾驶，正确执行驾驶操作规程，严禁酒后开车，保证安全行车。4.做好车辆的维护、保养工作，保持车辆常年整洁和车况良好。5.熟悉交通法规、路况和车辆性能，不断提高自己的技术水平和积累行车经验。6.身体健康，没有影响工作的疾病，劳动技能符合工作岗位的要求。7.能够服从公司的劳动安排包括岗位调整8.有货运从业资格证配送饮料，不需要装货，有时需要卸货，一个司机就可以送，仓对仓，早9晚5。工作地点：郊区，没有市区。平常不在，最好打我电话薪资待遇：司机平均工资在6000-8000不等。工作日上班地址：各区域都有仓库。就近分配,驹马简介：截止2017年1月在全国有20家分公司，成都、西安、重庆、武汉、长沙、深圳、广州、上海、郑州、南京，合肥，杭州，苏州超过2200辆自有车辆
驹马招货运司机的,货运司机,5人,上海青浦徐泾华徐公路685海E通世界南区B栋905室,上海驹马物流有限公司,贸易/交通/运输/物流,民营,1000-9999人,诚信等级：,,驹马简介：截止2017年5月在全国有22家分公司，成都、西安、重庆、武汉、长沙、深圳、广州、上海、郑州、南京，合肥，杭州，苏州等超过2500辆自有车辆；驹1：首付3.8万承包全新4.2m厢式货车一台；2：或10.7万承包全新4.2m厢式货车一台。可免费租用公司上海牌照，公司也有沪BH牌照可租用。平常不在，最好电话联系3：租用公司全新国五4.2m厢式货车，6000/月。押金两万。两年合同期（合同期内公司包货源稳定、充足），合同期满后车辆归司机个人所有，可以继续跟公司合作；一个司机就可以送，仓库到仓库一天800左右。提供稳定长期货源，其他货源也可以做。有夜间货源,驹马简介：截止2017年1月在全国有20家分公司，成都、西安、重庆、武汉、长沙、深圳、广州、上海、郑州、南京，合肥，杭州，苏州超过2200辆自有车辆
开4.2米厢货6K到8K的,货运司机,2人,上海青浦徐泾华徐公路685海E通世界南区B栋905室,上海驹马物流有限公司,贸易/交通/运输/物流,民营,1000-9999人,诚信等级：,,驹马简介：截止2017年3月在全国有22家分公司，成都、西安、重庆、武汉、长沙、深圳、广州、上海、郑州、南京，合肥，杭州，苏州等超过2400辆自有车辆；驹马合作的企业：涉及大型物流、大型商超、大型快递、大型供应链、大型连锁店、大型电商、大型家电等多家大型企业，岗位职责：1.认真完成公司的派车任务要求，配合公司货运安排。2.按公司要求去指定地方送货；3.安全驾驶，正确执行驾驶操作规程，严禁酒后开车，保证安全行车。4.做好车辆的维护、保养工作，保持车辆常年整洁和车况良好。5.熟悉交通法规、路况和车辆性能，不断提高自己的技术水平和积累行车经验。6.身体健康，没有影响工作的疾病，劳动技能符合工作岗位的要求。7.能够服从公司的劳动安排包括岗位调整8.有货运从业资格证配送饮料，不需要装货，有时需要卸货，一个司机就可以送，仓对仓，早9晚5。工作地点：郊区，没有市区。平常不在，最好打我电话薪资待遇：司机平均工资在6000-8000不等。工作日上班地址：各区域都有仓库。就近分配,驹马简介：截止2017年1月在全国有20家分公司，成都、西安、重庆、武汉、长沙、深圳、广州、上海、郑州、南京，合肥，杭州，苏州超过2200辆自有车辆
招聘驾驶员,货运司机,若干,上海上海南汇惠南镇2629号,予岩实业,其它行业,民营,20人以下,诚信等级：,,本公司为海尔家电售后，现诚招驾驶员两名，负责冰箱 洗衣机的搬运 熟悉南汇路况优先。,"本网点为海尔浦东新区家电售后服务部,负责海尔冰箱，洗衣机，空调家电的安装与维修，发展稳定，有发展空间，欢迎有志青年加入我们的团队。"
货车司机,货运司机,若干,上海上海嘉定区霍城路,上海锐鹏物流有限公司,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,持有B2以上驾驶执照，有货运资格的货车司机，有工作经验者，熟悉上海及周边城市道路，家住嘉定戬浜附近,该信息通过【招才猫直聘】app发布。老板忙得连写简介的时间都没有~正在招人，赶快来应聘吧~
招聘B2货车司机,货运司机,3人,上海杨浦杨浦区共青路330弄1号,蒋胜元冷藏运输,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,：1:负责送货和清点货物件数有活就做没活休息诚实守信：忠诚老实：吃苦耐劳：对上海和周边道路熟悉者优先,公司逐渐壮大，希望你的加盟，我们能更好的迈向更高的台阶，你我共同成长！
搅拌车驾驶员,货运司机,2人,上海浦东唐镇孙浦路华夏西路,上海纳鸿,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、B2本，有搅拌车实际驾驶经验，有上岗证，熟悉本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,这家公司还没来得及写简介~
速运公司直招带车司机,货运司机,4人,上海南汇周浦沪南公路3665号金盾大厦,上海羿丽速运有限公司,计算机/网络/通信,民营,20-99人,诚信等级：,,羿丽速运1、有驾证，C1等级以上；2、认真完成提货、送货任务，服从派车调度人员指挥；3、 坚持行车安全检查，每次行车前检查车辆，发现问题及时排除，确保车辆运行；4、 安全驾驶，正确执行驾驶操作规程，听从交通管理人员的指挥，行车时集中精力驾驶，严禁酒后开车，不开“英雄车”、“赌气车”；5、每次出车回来后，如实填写行车记录，向派车主管简要汇报出车情况；6、车辆用毕后，车辆停泊在指定位置，锁好方向盘、门窗等；7、做好车辆的维护、保养工作，保持车辆常年整洁和车况良好；8、认真填写车辆档安，对车辆事故、违章、损坏等异常情况及时汇报，写好情况汇报。对车辆运行里程和耗油情况进行统计分析，提出报告和降低成本的确良建议；9、确保良好的休息、足够的睡眠，以充沛的精力和体力,羿丽速运有限公司， 是一家大型注重与网络开发的企业，现与多家知名企业经合作推出一款新型020模式用车平台（羿丽速运）的APP，为客户提供了快捷用车的优点省钱，省力，省时间，下单3秒快速响应接单。公司经营范围：货运，搬家，商城，网站APP技术开发，汽车租赁，道路货物运输，建材电器家具上门搬家，出行用车，企业用车，旅游用车，婚庆用车，同城拉货，价格低，上门快，服务有保障，我们的司机二十四小时为您贴心服务。
急聘驾驶员b1照以上,货运司机,2人,上海嘉定马陆双单路1509弄,上海世秀国际物流有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,1、负责公司的货物运送、数量清点2、负责公司车辆保养、维修和清洁工作； 3、协助处理公司车辆保险、索赔、年检相关事宜；任职要求：1、年龄25-45岁，B1照，3年以上实际驾驶经验，熟悉本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强:,上海世秀国际物流有限公司秉承诚信经营、准时送达的信念。围绕公司的网络干线，在原有的基础上增加了集货及配送能力的运输节点，将京、沪、粤三地是客户群体有效的组织构成了干线运输网络。上海世秀国际物流有限公司在整车及零担的干线运输的同时，还在京沪粤三地配有城市配送车辆，以满足客户分拨配送的需求，充分发挥自身优势，提供让客户满意的专业化物流服务。
急招货车司机,货运司机,20人,上海松江新桥新南街147弄,上海华通实业有限公司,办公用品及设备,民营,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄28-40岁，B2本，3年以上实际驾驶经验，有货运资格证，熟悉本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,公司成立以来，以稳定的步伐飞速发展，成为国内电子元器件知名的供应商之一。在研发-生产-销售的过程中，整合整个产品链上的品质标准及流程，建立一整套品质保证体系。为满足客户及时的需求，斥巨资备有庞大的现货库存。以技术服务为依托、事成需求为导向，相继推出了音频功放、运放、 LED数字逻辑电路、MOSFET、照明驱动IC、存储器EEPROM、电源管理IC（锂电充电IC、LDO IC、低电压检测（复位）IC、DC-DC升压&降压IC等）。历经多年发展，公司已经与各大晶圆厂、封装测试厂结成战略合作伙伴，形成完整的产业链，使得金星科技的产品在技术品质、价格、交付能力及客户服务等方面极其具备优势的竞争力。可为客户提供芯片技术
高薪招聘带车货运司机月薪过万,货运司机,20人,上海南汇周浦金盾大厦3665号10楼1010室,上海羿丽速运有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,1.遵守公司的各项规章制度，信守劳动合同，热爱本职工作，努力学习提高驾驶员的思想素质，业务水平，服务态度和操作等技能水平。防范车辆事故的发生，做到爱惜车辆为珍惜自己的生命。2.平时勤学习安全教育，服从领导，团结互助，爱岗位敬业。3.服从生产厂长安排，积极配合领导完成购货工作，及时主动向管理人员汇报出厂外车辆配送运转情况。4.认真做爱本例保工作，提高操作技能，保持成本意识观念，实事求是。5.不得随意将车转借他人驾驶，不准公车私用（特殊情况由生产厂长调动）。6.每天出车前实施出车前准备，检查车辆刹车，轮胎气压，机油，燃油，水是否正常，零件是否齐备，保证车辆安全。7.遵守交通规则，注意行车安全，节约燃料，圆满完成货物运输任务。8.依据驾驶员应知应会，及时分析排除故障。对复杂故障通报有关人员，并提出排除意见及时处理，保障车辆安全正常行驶。9.依据车辆保养制度，对车辆运行前后实施维护保养，行驶中注意和观察仪表是否正常，对异常部位及时调整和故障排除。司机如果人为造成车辆损坏及伤及他人和物件根据情节轻重公司将作出相应处罚。,"羿丽速运一家大型注重与网络开发的企业，现与多家知名企业合作推出一款新型020模式用车平台（羿丽速运）的APP,为客户提供了快捷用车的优点省钱，省力，省时间，下单3秒快速响应接单，公司经营范围：货运，搬家，商城，网站APP技术开发，汽车租凭，道路货物运输，建材电器家具上门搬家，出行用车，企业用车，旅游用车，婚庆用车，同城拉货，价格低，上门快，服务有保障，我们的司机24小时为您贴心服务"
B2照驾驶员,货运司机,1人,上海普陀金沙江路普陀区同普路祁连山南路,上海互焱物流有限公司,其它行业,民营,20人以下,诚信等级：,,岗位职责:驾驶员任职资格:工作时间:8：00-20：00,信息技术和创新的力量为整个物流行业带来革命性变化，致力于打造一站式的物流服务平台，为客户提供高效的服务和体验，成为最值得信赖和尊重的物流领导者
A2集装箱驾驶员,货运司机,1人,上海浦东高桥和龙路666弄,诚聘小吃店厨子,酒店/餐饮,民营,20人以下,诚信等级：,,了解上海港集装箱流程 无重大责任事故 有从业资格证 服从调度安排 本人非车队 在货代公司上海 买车挂在车队  活有保证 管理灵活,本人准备在宁波大学附近开一家小吃店，具体是做那种砂锅饭的，店面已经谈好，现在缺一个厨子，因为这是特色小吃，我已经联系好学这种做法的地方，正因为是特色，实不相瞒，人家跟我要学费3W块，所以我招聘的人，需要能够稳下心来跟我做。做这种砂锅饭的话其实也简单，只有几个品种，有基础很快就能学会。待遇的话试用2个月3000，转正3500，视效益年底也会有奖金。有一点需要注明，因为是学校附近，而且只有你一个人，休息的机会不多，每天的工作时间从上午9点到晚上9点（因为是学校），但每年寒暑假有三个月的休息时间，每个月会照常发半个月工资，我对这个小吃还是很有信心的，特意找了几批学生去吃过，评价都很好，所以如果做的好的话，待遇不会差的，本人第一次自己创业做生意，也是很诚心的招一个师傅，希望你能慎重考虑我的条件其中最重要的一点：稳定！店的话差不多8月下旬开业，学习时间安排在8月上旬，当月开始发工资。
诚聘物流司机,货运司机,1人,上海青浦香花桥新达路1218号,上海蓝君物流有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,"岗位职责:1、 负责合理安排公司物流送货路线；2、 负责提货及货品配送，安全准确将货品送达客户指定收货地址；3、 负责公司车辆保养维护；4、 负责运送过程中的简单搬运工作；5、 确保安全驾驶的同时，保证送货准确率和准时率。任职要求：1、 有C照驾照且货车驾龄2~3年以上；2、 对车辆维护保养有经验者优先；3、 沟通能力佳,普通话标准,有较强的责任心；4、 熟悉上海市及周边交通路线情况；5、 无过往重大交通事故/交通违章情况。",上海蓝君物流作为国内合资的全国性专业物流公司，凭借密集的物流网络、硬件保障、软件支持、以及科学管理，实现了由单一运输企业向综合物流公司的转型，为客户提供物流咨询、国内运输、仓储管理、包装、保险等物流综合服务。其良好的信誉、灵活的服务方式、完善的网络管理系统、丰富的物流专业管理经验、训练有素的专业人员、全国各大城市统一的服务体系和价格体系赢得了众多国际、国内著名企业的信赖与支持.
诚聘驾驶员,货运司机,3人,上海南通海门占仁村5组,海门市佳成物流有限公司,贸易/交通/运输/物流,其他,20-99人,诚信等级：,,任职资格：驾驶证B照以上，持有上岗证，能吃苦耐劳；熟悉上海路线者优先；年龄：45岁以内。业务繁忙，有意者可直接电话联系！业务繁忙，有意者可直接电话联系！业务繁忙，有意者可直接电话联系！,佳成物流是一家专业从事集运输、仓储、装卸、回程车配载、配送、包装、信息处理、第三方物流等投资开发于一体的现代化大型物流企业。专线往返，天天发车，长短途运输，整车回程车配载运输。长期以来公司在实践与探索中建立，健全了一套完整的物流管理体系，先进的管理经验新兴的运输理念，以及不同于货运代理的专线储运业务大大减少了中间的环节，降低了管理成本合理的收费优势为客户提供了满意的服务。 全力以赴，热情服务，是本公司全体员工的原则。真诚的信誉，实在的服务，永久赢得各界客户的好评，只要您给我们一份信任，还您百分百满意！！
A2驾照司机,货运司机,2人,上海浦东外高桥外四港建路申东路,上海阳铭物流有限公司,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,岗位职责:A2驾照，做集装箱运输，踏实肯干任职资格:工作经验2年工作时间:,上海阳铭物流有限公司上海阳铭物流有限公司上海阳铭物流有限公司上海阳铭物流有限公司
诚聘货运司机,货运司机,2人,上海闵行浦江三鲁公路889号,上海和协物流有限公司,贸易/交通/运输/物流,股份制企业,100-499人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄28-35岁，B2本，5年以上实际驾驶经验，有货运资格证，熟悉本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,"和协物流有限公司,位于上海闵行区浦江镇三鲁公路889号，是一家集仓储、配载、短驳、长途运输、分拨等业务为一体的专业、综合型物流公司，公司自成立之日起始终以""信誉第一，客户至上""为宗旨，力求成为全国一流的三方物流公司。公司备有标准化仓库，自备及挂靠的大、中、小型各式车辆 ，各式电动叉车，电动拖车等专业作业车辆齐备。实行先进的信息化平台管理，专人跟踪货物，客户可随时在知悉货物订单状态。随着中国物流物行业的快速发展，面对激烈的市场竞争现状和客户对服务质量的更高要求，和协始终至力于内部业务流程的整合，为客户提供个性化的物流解决方案，各个环节紧密配合，压缩时间与成本，让客户享受高品质的物流服务。"
嘉定马陆6.2米短驳货车B2驾驶员,货运司机,1人,上海嘉定马陆镇思诚路1272号,上海帝曲胜流有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,第三方物流公司司机工作轻松要求B2以上驾驶证,诚信为本诚信为本诚信为本
货车司机,货运司机,1人,上海奉贤奉城青村镇青伟路6号,上海蓁维印刷有限公司,印刷/包装/造纸,民营,100-499人,诚信等级：,,岗位职责:任职资格:工作时间:工作认真负责,因公司规模阔大，现需招工作精英有责任心者.有团队精神.一起把公司做到蒸蒸日上
诚聘驾驶员,货运司机,3人,上海南通海门占仁村5组,海门市佳成物流有限公司,贸易/交通/运输/物流,其他,20-99人,诚信等级：,,任职资格：驾驶证B照以上，持有上岗证，能吃苦耐劳；熟悉上海路线者优先；年龄：45岁以内。业务繁忙，有意者可直接电话联系！业务繁忙，有意者可直接电话联系！业务繁忙，有意者可直接电话联系！,佳成物流是一家专业从事集运输、仓储、装卸、回程车配载、配送、包装、信息处理、第三方物流等投资开发于一体的现代化大型物流企业。专线往返，天天发车，长短途运输，整车回程车配载运输。长期以来公司在实践与探索中建立，健全了一套完整的物流管理体系，先进的管理经验新兴的运输理念，以及不同于货运代理的专线储运业务大大减少了中间的环节，降低了管理成本合理的收费优势为客户提供了满意的服务。 全力以赴，热情服务，是本公司全体员工的原则。真诚的信誉，实在的服务，永久赢得各界客户的好评，只要您给我们一份信任，还您百分百满意！！
招B2驾驶员一名,货运司机,2人,上海嘉定区马陆镇思诚路1206号,安徽驰骋,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,主要负责上海市内提货,上海至芜湖马鞍山货物运输
驾驶员A2证,货运司机,1人,上海上海嘉定嘉松北路6130号,上海超石物流有限公司,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；任职资格：1、A2本，5年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。工作时间：,上海超石物流有限公司成立于2013年，业务遍布全国各地，主营业务在上海周边。自成立以来，发展迅速，声誉良好。现在急需持有A2驾照的驾驶员两名，欢迎有志认识的加入。
驾驶员,货运司机,2人,上海上海嘉定朱桥朱戴路1835号2号楼,上海贯联信息科技有限公司,计算机/网络/通信,民营,20-99人,诚信等级：,,"岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、C1本,有货运资格证优先考虑3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。工作时间：",由于公司新成立需要大量的人才，真诚希望有志于创业的优秀人才加入我们的团队，公司招聘岗位的薪资待遇肯定会不断调整。如果你够自信、有激情、有智慧、能吃苦，这里将是你工作与事业的平台，一定会收获你的职业理想与价值。
驾驶员,货运司机,10人,上海上海市松江区泗泾镇九干路168号,速尔快递泗泾分公司,贸易/交通/运输/物流,其他,20人以下,诚信等级：,,岗位职责：1、负责公司的货物派件收件、数量清点；4、协助处理日常行事务。1、年龄22-35岁，B2本，3年以上实际驾驶经验，最好有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,持有B2驾照，能吃苦耐劳，有责任感，有积极向上的精神。
小厢货车,货运司机,5人,上海普陀桃浦华联路138号,上海广和物流有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,自己带车 自己卸货4.2米以上的厢货作业范围：青浦、松江、闵行、宝山、嘉定,我们公司是一家全国各地、上海市内配送、运输，仓储、加工等综合性的物流公司。
招收B照司机,货运司机,20人,上海松江新桥新南街147弄,上海华通实业有限公司,办公用品及设备,民营,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄28-40岁，B2本，3年以上实际驾驶经验，有货运资格证，熟悉本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,公司成立以来，以稳定的步伐飞速发展，成为国内电子元器件知名的供应商之一。在研发-生产-销售的过程中，整合整个产品链上的品质标准及流程，建立一整套品质保证体系。为满足客户及时的需求，斥巨资备有庞大的现货库存。以技术服务为依托、事成需求为导向，相继推出了音频功放、运放、 LED数字逻辑电路、MOSFET、照明驱动IC、存储器EEPROM、电源管理IC（锂电充电IC、LDO IC、低电压检测（复位）IC、DC-DC升压&降压IC等）。历经多年发展，公司已经与各大晶圆厂、封装测试厂结成战略合作伙伴，形成完整的产业链，使得金星科技的产品在技术品质、价格、交付能力及客户服务等方面极其具备优势的竞争力。可为客户提供芯片技术
A2驾驶员,货运司机,5人,上海上海嘉定区众百路448号C区112室,上海丙祥国际物流有限公司,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；任职资格：1、年龄28-50岁，A2本，5年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，适应弹性工作制度，5.适应长途运输， 驾驶16.5米专用箱车,上海丙祥国际物流有限公司经国家主管部门批准成立的专业化物流服务商！自成立以来，本着诚信经营，视顾客为伙伴的经营思想，以为客户创造竞争优势的同时创建自身的竞争优势为理念。本公司有40多部大型集装箱，承接上海至北京以及全国的箱车货物运输，在上海配有多部6.8米 9.6米  12.5米 13.5米 16.5米 17.5米 18米 22米23米 24米车辆承接全国各地的整车以及零担业务。本公司的宗旨是诚信为本 真诚至上 方便快捷 安全及时 客户至上。
搅拌车驾驶员,货运司机,6人,上海金山漕泾曹廊公路1408号,个体,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,能吃苦耐劳，有团队精神，服从调配，具体工资可以面谈,这家公司还没来得及写简介~
运输海鲜,货运司机,1人,上海上海周边主要跑沿海地区,新通达,其它行业,民营,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄28-35岁，B2本，3年以上实际驾驶经验，有货运资格证，熟悉本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,这家公司还没来得及写简介~
驾司机,货运司机,若干,上海（外青松路口）新达路1333号,威薇金属制品有限公司,生产/制造,其他,20人以下,诚信等级：,,持有c1驾驶执照，有货运资格的货车司机，有工作经验者有限,该信息通过58招才猫app发布。老板忙得连写简介的时间都没有~正在招人，赶快来应聘吧~
急招货车和商务车司机可自带车,货运司机,4人,上海浦东张江奉贤南桥工业园区环城东路900,上海光明乳业食品有限公司,贸易/交通/运输/物流,合资,500-999人,诚信等级：,,工作时间8小时双休，公司免费提供吃住，交五险一金。自带车，公司报销油费和话费。全上海就近分配,上海光明乳业股份有限公司(SH:600597)是由国资、外资、民营资本组成的产权多元化的股份制上市公司，主要从事乳和乳制品的开发、生产和销售，奶牛和公牛的
光明乳业急招货车和商务车司机,货运司机,4人,上海南汇惠南奉贤南桥工业园区环城东路900,上海光明乳业食品有限公司,贸易/交通/运输/物流,合资,500-999人,诚信等级：,,工作时间8小时双休，公司免费提供吃住，交五险一金。自带车，公司报销油费和话费。全上海就近分配,上海光明乳业股份有限公司(SH:600597)是由国资、外资、民营资本组成的产权多元化的股份制上市公司，主要从事乳和乳制品的开发、生产和销售，奶牛和公牛的
验货打包送货司机,货运司机,1人,上海上海浦东金桥金沪路99弄3号1901室,台州浩海船舶,贸易/交通/运输/物流,外商独资,20人以下,诚信等级：,,岗位职责：1、负责公司的货物接收、开箱验货、重新打包、发货事宜；2、协助处理日常行政、后勤事务。任职资格：1、有驾照，会开车，2年以上实际驾驶经验；　2、为人踏实、老实忠厚，保密意识强、责任心强。,"我司是外资企业，主要经营船舶设备、配件进出口业务，公司分布于土耳其、中国、韩国，现上海公司诚聘以下人员：一、外贸业务主管1.具有良好的职业道德，勤奋上进，工作认真负责，具有团队协作精神2.具有熟练的英语听说读写能力， 熟悉国际业务操作及单证制作3.具有船舶备件，船舶设备，船舶机械类业务工作经验，有独立开发客户能力4.轮机工程、船舶工程、船舶机械等专业优先二、业务助理职位要求：1.具有良好的职业道德，勤奋上进，工作认真负责，具有团队协作精神2.具有熟练的英语听说读写能力，熟练办公软件， 熟悉国际业务操作及单证制作3.有工作经验者优先三、采购主管1.具有良好的职业道德，勤奋上进，工作认真负责，具有团队协作精神2.具有船舶备件、设备等采购经验3.熟悉供应厂家、有工作经验优先,英语水平良好优先4.具有良好的沟通能力，熟悉采购流程工作地点：上海浦东金桥金沪路99弄3号1901室"
招货运司机和小车司机也可自带车,货运司机,4人,上海闵行老闵行奉贤南桥工业园区环城东路900,上海光明乳业食品有限公司,贸易/交通/运输/物流,合资,500-999人,诚信等级：,,工作时间8小时双休，公司免费提供吃住，交五险一金。自带车，公司报销油费和话费。全上海就近分配,上海光明乳业股份有限公司(SH:600597)是由国资、外资、民营资本组成的产权多元化的股份制上市公司，主要从事乳和乳制品的开发、生产和销售，奶牛和公牛的
招CB照司机,货运司机,5人,上海宝山上大祁连山路3588弄208号,上海昕永食品有限公司,快速消费品(食品/...,民营,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄28-35岁，B2本，5年以上实际驾驶经验，有货运资格证，熟悉本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,这家公司还没来得及写简介~
