2345.com,经验1-3年 ,张江,"数据服务,移动互联网 ",8k-13k,8000,13000
游族网络,经验1-3年 ,徐汇区,"移动互联网,游戏 ",11k-20k,11000,20000
百度上海分公司,经验1-3年 ,嘉定区,"移动互联网,数据服务 ",8k-11k,8000,11000
宝象投资控股集团有限公司,经验3-5年 ,陆家嘴,金融 ,10k-20k,10000,20000
袋马科技,经验不限 ,万源城,硬件 ,6k-8k,6000,8000
美团点评,经验不限 ,徐汇区,"移动互联网,O2O ",8k-10k,8000,10000
晨光文具互联网,经验3-5年 ,漕宝路,"移动互联网,生活服务 ",8k-10k,8000,10000
时趣social-touch,经验不限 ,中山公园,移动互联网 ,3k-4k,3000,4000
创冰科技,经验不限 ,长阳路,数据服务 ,1k-2k,1000,2000
nonda 能塔智能,经验1-3年 ,斜土路,"移动互联网,硬件 ",10k-20k,10000,20000
数旦信息,经验不限 ,漕河泾,"移动互联网,金融 ",3k-4k,3000,4000
京东,经验1-3年 ,梅园,"移动互联网,电子商务 ",14k-28k,14000,28000
追书神器,经验5-10年 ,万源城,移动互联网 ,20k-30k,20000,30000
百融金服,经验不限 ,梅园,"金融,数据服务 ",3k-5k,3000,5000
讯实科技,经验1-3年 ,浦东新区,数据服务 ,6k-8k,6000,8000
个推,经验不限 ,静安区,移动互联网 ,12k-18k,12000,18000
汉堡王,经验1-3年 ,徐汇区,其他 ,8k-12k,8000,12000
两鲜,经验不限 ,北蔡,电子商务 ,2k-4k,2000,4000
卡得万利,经验1-3年 ,浦东新区,金融 ,8k-15k,8000,15000
Evolve,经验3-5年 ,打浦桥,"社交网络,O2O ",13k-25k,13000,25000
开新汽车,经验1-3年 ,七宝,移动互联网 ,8k-10k,8000,10000
还呗-智能信贷领先者,经验1-3年 ,张江,"移动互联网,金融 ",10k-20k,10000,20000
SUGARMONKEY,经验1年以下 ,镇宁路,"移动互联网,广告营销 ",5k-6k,5000,6000
上海赞想,经验1-3年 ,杨浦区,电子商务 ,6k-8k,6000,8000
长润发涂料,经验1-3年 ,金山区,"其他,分类信息 ",4k-6k,4000,6000
览益信息科技,经验1-3年 ,汶水路,"金融,移动互联网 ",6k-10k,6000,10000
途家网,经验3-5年 ,虹口区,"移动互联网,O2O ",20k-25k,20000,25000
菁泽,经验3-5年 ,浦东新区,"其他,企业服务 ",20k-40k,20000,40000
Strikingly,经验不限 ,五角场,移动互联网 ,10k-20k,10000,20000
饿了么,经验不限 ,长征,移动互联网 ,2k-3k,2000,3000
simplyBrand,经验3-5年 ,外滩,数据服务 ,15k-25k,15000,25000
携程,经验1-3年 ,北新泾,"移动互联网,旅游 ",8k-16k,8000,16000
小红书,经验1-3年 ,淮海路,"生活服务,电子商务 ",20k-30k,20000,30000
上海乐去做,经验5-10年 ,江浦路,其他 ,30K-40K,30000,40000
星环科技,经验1-3年 ,田林,数据服务 ,17k以上,17000,
前隆金融（手机贷）,经验3-5年 ,外滩,金融 ,15k-30k,15000,30000
永洪科技,经验5-10年 ,北京西路,企业服务、数据服务 ,15k-20k,15000,20000
触宝科技,经验1-3年 ,漕宝路,"移动互联网,数据服务 ",25k-40k,25000,40000
能猫工作室,经验1年以下 ,上海,电子商务 ,4k-7k,4000,7000
小红书,经验不限 ,新天地,"生活服务,电子商务 ",4k-5k,4000,5000
运去哪,经验1-3年 ,黄浦区,"电子商务,企业服务 ",15k-25k,15000,25000
数云,经验1-3年 ,徐汇区,"企业服务,数据服务 ",8k-10k,8000,10000
壤歌,经验3-5年 ,上海师大,"移动互联网,企业服务 ",10k-20k,10000,20000
爱乐奇,经验1年以下 ,张江,移动互联网 ,6k-10k,6000,10000
携程,经验5-10年 ,长宁区,"移动互联网,旅游 ",20k-35k,20000,35000
优拜单车,经验3-5年 ,长征,移动互联网 ,15k-30k,15000,30000
MarcPoint,经验不限 ,徐汇区,"电子商务,广告营销 ",4k-5k,4000,5000
洋码头,经验3-5年 ,汶水路,"移动互联网,电子商务 ",10k-20k,10000,20000
聚财猫,经验5-10年 ,东方路,金融 ,25k-50k,25000,50000
英语流利说,经验1-3年 ,杨浦区,"移动互联网,教育 ",9k-16k,9000,16000
维信金融科技集团,经验1-3年 ,外滩,金融 ,15k-22k,15000,22000
觅邦信息,经验应届毕业生 ,同乐坊,"移动互联网,数据服务 ",2k-3k,2000,3000
佰万仓,经验1-3年 ,北新泾,"移动互联网,电子商务 ",20k-25k,20000,25000
华院数据,经验1-3年 ,杨浦区,"企业服务,数据服务 ",10k-15k,10000,15000
掌数科技,经验3-5年 ,浦东新区,"数据服务,企业服务 ",15k-25k,15000,25000
